,,,,,UKCP09,,,UKCP18,,,Difference,,
2060-2089,precip,dmean,sep,Western Scotland,-6.3619103,7.823527,24.486986,-36.52586,-15.980729,7.0067587,-30.1639497,-23.804256,-17.4802273
2060-2089,precip,dmean,sep,Yorkshire and Humberside,-22.97079,-5.327318,15.009156,-43.38872,-14.504707,19.487919,-20.41793,-9.177389,4.478763
2070-2099,temp,dmax,sep,Channel Islands,1.5501292,3.5062788,6.116389,1.5315241,4.3005195,7.3964105,-0.0186051,0.7942407,1.2800215
2070-2099,temp,dmax,sep,East Midlands,1.3028933,3.3660626,5.810338,1.5900811,4.507137,7.760624,0.2871878,1.1410744,1.950286
2070-2099,temp,dmax,sep,East of England,1.3528265,3.4062417,5.9186954,1.609445,4.526995,7.8121386,0.2566185,1.1207533,1.8934432
2070-2099,temp,dmax,sep,Eastern Scotland,1.4736778,3.296947,5.764796,0.65928406,3.6167312,6.7936954,-0.81439374,0.3197842,1.0288994
2070-2099,temp,dmax,sep,Isle of Man,1.3257478,3.06224,5.328559,1.1170566,3.376928,5.8438373,-0.2086912,0.314688,0.5152783
2070-2099,temp,dmax,sep,London,1.3623718,3.6069195,6.249693,1.6870703,4.892309,8.486948,0.3246985,1.2853895,2.237255
2070-2099,temp,dmax,sep,North East England,1.5296451,3.4573183,6.0058208,1.346611,3.8344264,6.616021,-0.1830341,0.3771081,0.6102002
2070-2099,temp,dmax,sep,North West England,1.5138023,3.4461832,6.037465,1.2851089,4.025489,7.0052657,-0.2286934,0.5793058,0.9678007
2070-2099,temp,dmax,sep,Northern Ireland,1.4388486,3.0231223,5.0628834,1.1653124,3.5850623,6.2004194,-0.2735362,0.56194,1.137536
2070-2099,temp,dmax,sep,Northern Scotland,1.2876472,2.933519,5.0953617,0.6297256,3.1400583,5.8415265,-0.6579216,0.2065393,0.7461648
2070-2099,temp,dmax,sep,South East England,1.3974199,3.6083076,6.3121576,1.6695515,4.9066324,8.52531,0.2721316,1.2983248,2.2131524
2070-2099,temp,dmax,sep,South West England,1.6133424,3.7592163,6.5205474,1.5982496,4.8491635,8.42986,-0.0150928,1.0899472,1.9093126
2070-2099,temp,dmax,sep,Wales,1.4479765,3.394463,5.898188,1.3648752,4.383038,7.6591187,-0.0831013,0.988575,1.7609307
2070-2099,temp,dmax,sep,West Midlands,1.5373576,3.6410308,6.3437414,1.5508604,4.686657,8.135336,0.0135028,1.0456262,1.7915946
2070-2099,temp,dmax,sep,Western Scotland,1.3843759,3.1272116,5.464938,1.1387138,3.5847273,6.243518,-0.2456621,0.4575157,0.77858
2070-2099,temp,dmax,sep,Yorkshire and Humberside,1.1862588,3.1187656,5.3746457,1.4543351,4.1177793,7.0869226,0.2680763,0.9990137,1.7122769
2070-2099,temp,dmean,sep,Channel Islands,2.08663,3.6612506,5.614135,1.3206381,3.611838,6.178898,-0.7659919,-0.0494126,0.564763
2070-2099,temp,dmean,sep,East Midlands,1.8097929,3.513053,5.550245,1.3752915,3.741919,6.3883967,-0.4345014,0.228866,0.8381517
2070-2099,temp,dmean,sep,East of England,1.8473864,3.5817835,5.657241,1.3725953,3.7675145,6.4557056,-0.4747911,0.185731,0.7984646
2070-2099,temp,dmean,sep,Eastern Scotland,2.025125,3.4760811,5.251029,0.872036,3.2179193,5.6826415,-1.153089,-0.2581618,0.4316125
2070-2099,temp,dmean,sep,Isle of Man,1.7580416,3.1003819,4.6984735,1.053108,2.9379253,5.0346284,-0.7049336,-0.1624566,0.3361549
2070-2099,temp,dmean,sep,London,1.9338436,3.7657962,5.9541283,1.4475323,4.0735044,7.017044,-0.4863113,0.3077082,1.0629157
2070-2099,temp,dmean,sep,North East England,1.9679024,3.4513352,5.2228417,1.1993831,3.29398,5.652107,-0.7685193,-0.1573552,0.4292653
2070-2099,temp,dmean,sep,North West England,1.9624124,3.4534268,5.23057,1.1953937,3.416495,5.8861184,-0.7670187,-0.0369318,0.6555484
2070-2099,temp,dmean,sep,Northern Ireland,1.9266272,3.1990726,4.7841325,1.101722,3.0842342,5.3033934,-0.8249052,-0.1148384,0.5192609
2070-2099,temp,dmean,sep,Northern Scotland,1.8513,3.1767232,4.7984214,0.80473197,2.8538494,5.0229506,-1.04656803,-0.3228738,0.2245292
2070-2099,temp,dmean,sep,South East England,1.9409459,3.7820776,5.980821,1.4465556,4.1101913,7.09096,-0.4943903,0.3281137,1.110139
2070-2099,temp,dmean,sep,South West England,2.189225,3.8370895,5.88235,1.3997867,4.037958,6.9786773,-0.7894383,0.2008685,1.0963273
2070-2099,temp,dmean,sep,Wales,2.0188391,3.538057,5.4237833,1.2218451,3.7183692,6.4425354,-0.796994,0.1803122,1.0187521
2070-2099,temp,dmean,sep,West Midlands,2.1394577,3.7351775,5.720409,1.3261948,3.9295874,6.7925467,-0.8132629,0.1944099,1.0721377
2070-2099,temp,dmean,sep,Western Scotland,1.8414791,3.2423892,4.9116364,1.0949515,3.1388597,5.429066,-0.7465276,-0.1035295,0.5174296
2070-2099,temp,dmean,sep,Yorkshire and Humberside,1.7166936,3.331161,5.262433,1.2774819,3.474412,5.938141,-0.4392117,0.143251,0.675708
2070-2099,temp,dmin,sep,Channel Islands,1.3793098,3.157008,5.575739,1.4250559,3.5374184,5.8167925,0.0457461,0.3804104,0.2410535
2070-2099,temp,dmin,sep,East Midlands,1.2241242,3.0184498,5.4313617,1.8170133,3.6993835,5.7277064,0.5928891,0.6809337,0.2963447
2070-2099,temp,dmin,sep,East of England,1.2810094,3.0619245,5.507119,1.8014271,3.735015,5.8334575,0.5204177,0.6730905,0.3263385
2070-2099,temp,dmin,sep,Eastern Scotland,1.0662512,2.7480536,4.887012,1.2889966,3.0705593,4.949758,0.2227454,0.3225057,0.062746
2070-2099,temp,dmin,sep,Isle of Man,0.61947465,2.4037018,4.61272,1.3608185,3.0721653,4.8833575,0.74134385,0.6684635,0.2706375
2070-2099,temp,dmin,sep,London,1.3055886,3.2110782,5.7991943,1.9176054,4.011296,6.282647,0.6120168,0.8002178,0.4834527
2070-2099,temp,dmin,sep,North East England,0.6888493,2.6374238,5.0280595,1.5382453,3.431482,5.464451,0.849396,0.7940582,0.4363915
2070-2099,temp,dmin,sep,North West England,0.716249,2.6435719,5.071316,1.5909098,3.5278845,5.592312,0.8746608,0.8843126,0.520996
2070-2099,temp,dmin,sep,Northern Ireland,1.2908746,2.813189,4.805167,1.4488026,3.2610466,5.186543,0.157928,0.4478576,0.381376
2070-2099,temp,dmin,sep,Northern Scotland,1.003779,2.5801852,4.5831957,1.175266,2.8011446,4.5157294,0.171487,0.2209594,-0.0674663
2070-2099,temp,dmin,sep,South East England,1.3355838,3.245658,5.8095875,1.9560798,4.084828,6.388832,0.620496,0.83917,0.5792445
2070-2099,temp,dmin,sep,South West England,1.3982313,3.2307754,5.6693707,1.5573413,3.8494694,6.314913,0.15911,0.618694,0.6455423
2070-2099,temp,dmin,sep,Wales,1.3160967,3.0580049,5.3421245,1.4362034,3.5213645,5.7373548,0.1201067,0.4633596,0.3952303
2070-2099,temp,dmin,sep,West Midlands,1.3360099,3.1298018,5.5756016,1.517985,3.684066,6.0041304,0.1819751,0.5542642,0.4285288
2070-2099,temp,dmin,sep,Western Scotland,0.67046964,2.5571628,4.8783255,1.488966,3.3594003,5.346214,0.81849636,0.8022375,0.4678885
2070-2099,temp,dmin,sep,Yorkshire and Humberside,1.2159108,2.9462566,5.2944317,1.7211785,3.5121922,5.4372773,0.5052677,0.5659356,0.1428456
2070-2099,precip,dmean,sep,Channel Islands,-47.420044,-20.850952,12.023966,-71.384415,-37.14894,6.030204,-23.964371,-16.297988,-5.993762
2070-2099,precip,dmean,sep,East Midlands,-33.05057,-7.5922265,24.777138,-56.83647,-24.928923,14.357107,-23.7859,-17.3366965,-10.420031
2070-2099,precip,dmean,sep,East of England,-38.445126,-16.083675,11.112509,-58.30262,-23.959963,18.778673,-19.857494,-7.876288,7.666164
2070-2099,precip,dmean,sep,Eastern Scotland,-9.141921,4.6367373,20.898016,-44.98039,-20.656017,7.395241,-35.838469,-25.2927543,-13.502775
2070-2099,precip,dmean,sep,Isle of Man,-18.519716,-3.962407,12.993281,-45.086105,-19.266531,9.975397,-26.566389,-15.304124,-3.017884
2070-2099,precip,dmean,sep,London,-39.034782,-15.919405,11.328513,-56.254814,-21.133242,23.187162,-17.220032,-5.213837,11.858649
2070-2099,precip,dmean,sep,North East England,-19.615171,-3.9260263,14.592308,-43.551365,-18.020647,11.04158,-23.936194,-14.0946207,-3.550728
2070-2099,precip,dmean,sep,North West England,-19.406347,-4.7070336,12.498267,-52.033993,-22.628302,10.954978,-32.627646,-17.9212684,-1.543289
2070-2099,precip,dmean,sep,Northern Ireland,-15.849353,-3.574797,10.333783,-39.906517,-14.710133,13.744995,-24.057164,-11.135336,3.411212
2070-2099,precip,dmean,sep,Northern Scotland,-7.3145766,5.620849,20.64293,-34.138145,-15.626991,4.744026,-26.8235684,-21.24784,-15.898904
2070-2099,precip,dmean,sep,South East England,-41.05651,-17.50858,9.719646,-58.531555,-23.060783,20.514688,-17.475045,-5.552203,10.795042
2070-2099,precip,dmean,sep,South West England,-41.57345,-17.913877,11.470175,-65.853775,-30.40898,13.781306,-24.280325,-12.495103,2.311131
2070-2099,precip,dmean,sep,Wales,-27.395021,-5.990455,19.723417,-59.995983,-27.12041,13.259479,-32.600962,-21.129955,-6.463938
2070-2099,precip,dmean,sep,West Midlands,-32.603153,-7.4364605,24.44865,-60.839523,-28.363558,11.022985,-28.23637,-20.9270975,-13.425665
2070-2099,precip,dmean,sep,Western Scotland,-8.733123,6.9640174,25.706263,-39.118984,-16.0407,9.035858,-30.385861,-23.0047174,-16.670405
2070-2099,precip,dmean,sep,Yorkshire and Humberside,-24.492224,-5.031371,17.947863,-48.431084,-18.08774,17.918812,-23.93886,-13.056369,-0.029051
2010-2039,temp,dmax,oct,Channel Islands,0.37659103,1.2449045,2.1740222,-0.03674692,1.2052678,2.458447,-0.41333795,-0.0396367,0.2844248
2010-2039,temp,dmax,oct,East Midlands,0.4544982,1.3811901,2.435446,-0.242536,0.90826315,2.1272504,-0.6970342,-0.47292695,-0.3081956
2010-2039,temp,dmax,oct,East of England,0.47092888,1.407546,2.4887743,-0.16612059,1.0043597,2.248151,-0.63704947,-0.4031863,-0.2406233
2010-2039,temp,dmax,oct,Eastern Scotland,0.33976617,1.2313662,2.2219057,-0.23122123,0.8305976,1.9525205,-0.5709874,-0.4007686,-0.2693852
2010-2039,temp,dmax,oct,Isle of Man,0.38804436,1.1221755,1.950085,-0.030428544,1.009429,2.0924547,-0.418472904,-0.1127465,0.1423697
2010-2039,temp,dmax,oct,London,0.47858736,1.4584403,2.564825,-0.21168369,1.0520256,2.3959546,-0.69027105,-0.4064147,-0.1688704
2010-2039,temp,dmax,oct,North East England,0.41602468,1.2319847,2.1211123,-0.15841499,1.0435627,2.2732358,-0.57443967,-0.188422,0.1521235
2010-2039,temp,dmax,oct,North West England,0.42660922,1.234698,2.130508,-0.20830786,1.0084264,2.2738795,-0.63491708,-0.2262716,0.1433715
2010-2039,temp,dmax,oct,Northern Ireland,0.46449104,1.1929445,2.0158834,-0.06489122,1.023149,2.1600728,-0.52938226,-0.1697955,0.1441894
2010-2039,temp,dmax,oct,Northern Scotland,0.31013185,1.1448972,2.0780852,-0.114480056,0.8394684,1.8442674,-0.424611906,-0.3054288,-0.2338178
2010-2039,temp,dmax,oct,South East England,0.48191044,1.4271109,2.5314705,-0.24572243,1.0186821,2.3636637,-0.72763287,-0.4084288,-0.1678068
2010-2039,temp,dmax,oct,South West England,0.39924395,1.2826684,2.2377663,-0.18214875,1.1692957,2.5575902,-0.5813927,-0.1133727,0.3198239
2010-2039,temp,dmax,oct,Wales,0.37272453,1.2087742,2.111871,-0.18738732,1.0290192,2.29434,-0.56011185,-0.179755,0.182469
2010-2039,temp,dmax,oct,West Midlands,0.3882158,1.2823882,2.2207623,-0.21765135,1.11038,2.469766,-0.60586715,-0.1720082,0.2490037
2010-2039,temp,dmax,oct,Western Scotland,0.38114718,1.1560962,1.9984853,-0.078018464,1.0079508,2.1458595,-0.459165644,-0.1481454,0.1473742
2010-2039,temp,dmax,oct,Yorkshire and Humberside,0.4281548,1.3026264,2.296391,-0.1940835,0.85898584,1.9741205,-0.6222383,-0.44364056,-0.3222705
2010-2039,temp,dmean,oct,Channel Islands,0.5087923,1.4138955,2.3670871,0.15204313,1.0936755,2.077183,-0.35674917,-0.32022,-0.2899041
2010-2039,temp,dmean,oct,East Midlands,0.5346873,1.4730227,2.4534943,0.08776127,1.0523134,2.1031396,-0.44692603,-0.4207093,-0.3503547
2010-2039,temp,dmean,oct,East of England,0.55372953,1.5027499,2.4955797,0.121509,1.1008877,2.1700435,-0.43222053,-0.4018622,-0.3255362
2010-2039,temp,dmean,oct,Eastern Scotland,0.30911118,1.3033805,2.3571353,0.06616186,0.9037205,1.7847005,-0.24294932,-0.39966,-0.5724348
2010-2039,temp,dmean,oct,Isle of Man,0.48082846,1.2924742,2.1443691,0.22912262,1.0275048,1.8621569,-0.25170584,-0.2649694,-0.2822122
2010-2039,temp,dmean,oct,London,0.5654874,1.5376189,2.5544565,0.0737196,1.1264516,2.2614372,-0.4917678,-0.4111673,-0.2930193
2010-2039,temp,dmean,oct,North East England,0.52153933,1.405186,2.332482,0.19134985,1.0862832,2.0090349,-0.33018948,-0.3189028,-0.3234471
2010-2039,temp,dmean,oct,North West England,0.5301352,1.4189075,2.352078,0.15310708,1.0676563,2.0079842,-0.37702812,-0.3512512,-0.3440938
2010-2039,temp,dmean,oct,Northern Ireland,0.49981436,1.2500186,2.044891,0.18822347,1.036561,1.9200134,-0.31159089,-0.2134576,-0.1248776
2010-2039,temp,dmean,oct,Northern Scotland,0.2928644,1.2310714,2.2255704,0.1097759,0.87549406,1.6865132,-0.1830885,-0.35557734,-0.5390572
2010-2039,temp,dmean,oct,South East England,0.5633837,1.5316815,2.5445213,0.048917655,1.1115291,2.2531245,-0.514466045,-0.4201524,-0.2913968
2010-2039,temp,dmean,oct,South West England,0.5406034,1.4732761,2.4570706,0.07791254,1.0862086,2.1431854,-0.46269086,-0.3870675,-0.3138852
2010-2039,temp,dmean,oct,Wales,0.51657826,1.417847,2.3681054,0.114723735,1.032493,1.9960839,-0.401854525,-0.385354,-0.3720215
2010-2039,temp,dmean,oct,West Midlands,0.5357842,1.4687793,2.4525573,0.10668516,1.0772606,2.1051793,-0.42909904,-0.3915187,-0.347378
2010-2039,temp,dmean,oct,Western Scotland,0.5045268,1.3568063,2.251317,0.18733384,1.0476243,1.9390566,-0.31719296,-0.309182,-0.3122604
2010-2039,temp,dmean,oct,Yorkshire and Humberside,0.5079059,1.4218348,2.3757632,0.1181728,1.025915,2.0178561,-0.3897331,-0.3959198,-0.3579071
2010-2039,temp,dmin,oct,Channel Islands,0.011637894,1.0870115,2.2224607,0.083224505,1.1167524,2.1918788,0.071586611,0.0297409,-0.0305819
2010-2039,temp,dmin,oct,East Midlands,0.31164017,1.3095803,2.3699458,0.048398763,0.99359506,1.9752195,-0.263241407,-0.31598524,-0.3947263
2010-2039,temp,dmin,oct,East of England,0.31514406,1.3162702,2.3924508,0.049236953,0.98789865,1.971089,-0.265907107,-0.32837155,-0.4213618
2010-2039,temp,dmin,oct,Eastern Scotland,0.26310313,1.2873685,2.4474921,-0.007963766,0.8571267,1.7635653,-0.271066896,-0.4302418,-0.6839268
2010-2039,temp,dmin,oct,Isle of Man,0.33756006,1.2332592,2.2403724,0.18363392,1.0020825,1.8740971,-0.15392614,-0.2311767,-0.3662753
2010-2039,temp,dmin,oct,London,0.3459333,1.3598319,2.4195733,-0.008656468,0.9823594,2.0180306,-0.354589768,-0.3774725,-0.4015427
2010-2039,temp,dmin,oct,North East England,0.34998518,1.3436822,2.4405746,0.07562623,0.99319875,1.9402848,-0.27435895,-0.35048345,-0.5002898
2010-2039,temp,dmin,oct,North West England,0.37258378,1.3714586,2.4903035,0.17318344,1.0789642,2.0320675,-0.19940034,-0.2924944,-0.458236
2010-2039,temp,dmin,oct,Northern Ireland,0.16287155,1.0632399,2.0036683,0.1434844,1.0122286,1.9359144,-0.01938715,-0.0510113,-0.0677539
2010-2039,temp,dmin,oct,Northern Scotland,0.24305259,1.2323757,2.3430135,-0.019190708,0.7974306,1.6494007,-0.262243298,-0.4349451,-0.6936128
2010-2039,temp,dmin,oct,South East England,0.3463467,1.3557746,2.4244156,-0.022464203,0.9843078,2.0329175,-0.368810903,-0.3714668,-0.3914981
2010-2039,temp,dmin,oct,South West England,0.003502222,1.1342747,2.2832928,0.0625067,1.1160234,2.2172205,0.059004478,-0.0182513,-0.0660723
2010-2039,temp,dmin,oct,Wales,0.022496313,1.0918641,2.216355,0.13161637,1.1280875,2.1596928,0.109120057,0.0362234,-0.0566622
2010-2039,temp,dmin,oct,West Midlands,0.03869426,1.1191056,2.275459,0.11835913,1.1470808,2.210985,0.07966487,0.0279752,-0.064474
2010-2039,temp,dmin,oct,Western Scotland,0.34816843,1.3210796,2.3968945,0.16104294,1.0433686,1.9761674,-0.18712549,-0.277711,-0.4207271
2010-2039,temp,dmin,oct,Yorkshire and Humberside,0.30573112,1.2710788,2.3215592,0.07501991,0.99892056,1.9508533,-0.23071121,-0.27215824,-0.3707059
2010-2039,precip,dmean,oct,Channel Islands,-18.574276,-0.68283945,21.11651,-25.512644,-0.6195603,31.170603,-6.938368,0.06327915,10.054093
2010-2039,precip,dmean,oct,East Midlands,-14.7062,-0.600665,15.8175335,-16.70281,2.8523376,24.90404,-1.99661,3.4530026,9.0865065
2010-2039,precip,dmean,oct,East of England,-14.391642,-0.53099716,15.556075,-19.687145,1.2928133,25.36704,-5.295503,1.82381046,9.810965
2010-2039,precip,dmean,oct,Eastern Scotland,-11.44168,1.5590695,16.546583,-13.959707,2.5623982,20.709719,-2.518027,1.0033287,4.163136
2010-2039,precip,dmean,oct,Isle of Man,-12.210592,2.365145,19.41135,-18.773195,3.4136856,29.911613,-6.562603,1.0485406,10.500263
2010-2039,precip,dmean,oct,London,-15.8100195,-0.5289071,17.50642,-23.111763,-0.4098659,26.781681,-7.3017435,0.1190412,9.275261
2010-2039,precip,dmean,oct,North East England,-15.073608,-0.38299987,16.84239,-17.353483,3.7642915,28.802143,-2.279875,4.14729137,11.959753
2010-2039,precip,dmean,oct,North West England,-11.33778,2.057103,17.529118,-19.419817,2.4103527,26.901476,-8.082037,0.3532497,9.372358
2010-2039,precip,dmean,oct,Northern Ireland,-10.98609,1.9930357,16.916052,-18.760471,1.4630891,23.358667,-7.774381,-0.5299466,6.442615
2010-2039,precip,dmean,oct,Northern Scotland,-12.093692,5.6035414,27.177969,-15.701334,1.1443809,18.958895,-3.607642,-4.4591605,-8.219074
2010-2039,precip,dmean,oct,South East England,-15.669375,-0.5879785,17.171495,-21.829458,-0.09422524,25.111908,-6.160083,0.49375326,7.940413
2010-2039,precip,dmean,oct,South West England,-15.058796,-0.5536837,16.40997,-18.345745,3.2259195,28.110691,-3.286949,3.7796032,11.700721
2010-2039,precip,dmean,oct,Wales,-10.440531,1.6241444,15.377459,-13.552332,7.9583216,33.949974,-3.111801,6.3341772,18.572515
2010-2039,precip,dmean,oct,West Midlands,-14.6690035,-0.63052315,15.698011,-14.97918,6.2932706,30.068531,-0.3101765,6.92379375,14.37052
2010-2039,precip,dmean,oct,Western Scotland,-11.6391,5.801038,27.017147,-13.627667,3.7799726,22.71322,-1.988567,-2.0210654,-4.303927
2010-2039,precip,dmean,oct,Yorkshire and Humberside,-15.091642,-0.5671269,16.42403,-11.640982,4.950854,25.237669,3.45066,5.5179809,8.813639
2020-2049,temp,dmax,oct,Channel Islands,0.6657795,1.6044488,2.642223,0.0802976,1.5933,3.163724,-0.5854819,-0.0111488,0.521501
2020-2049,temp,dmax,oct,East Midlands,0.7386898,1.7356659,2.9414444,-0.11599793,1.3277487,2.8656237,-0.85468773,-0.4079172,-0.0758207
2020-2049,temp,dmax,oct,East of England,0.7699023,1.7808847,3.0402265,-0.045559663,1.4080743,2.957777,-0.815461963,-0.3728104,-0.0824495
2020-2049,temp,dmax,oct,Eastern Scotland,0.5840702,1.5238949,2.6272879,-0.21669833,1.13493,2.5400195,-0.80076853,-0.3889649,-0.0872684
2020-2049,temp,dmax,oct,Isle of Man,0.62873924,1.4404423,2.3616066,0.079753965,1.3445579,2.6788352,-0.548985275,-0.0958844,0.3172286
2020-2049,temp,dmax,oct,London,0.8019785,1.843616,3.1328373,-0.07710818,1.4758668,3.1381636,-0.87908668,-0.3677492,0.0053263
2020-2049,temp,dmax,oct,North East England,0.67208266,1.57517,2.562366,-0.02893591,1.4453835,2.97285,-0.70101857,-0.1297865,0.410484
2020-2049,temp,dmax,oct,North West England,0.6794978,1.5683459,2.5701547,-0.121690094,1.3857911,2.9599764,-0.801187894,-0.1825548,0.3898217
2020-2049,temp,dmax,oct,Northern Ireland,0.72043556,1.5133839,2.4862301,0.05037779,1.3936224,2.809364,-0.67005777,-0.1197615,0.3231339
2020-2049,temp,dmax,oct,Northern Scotland,0.5437393,1.4263172,2.4516983,-0.14610483,1.0678313,2.3319478,-0.68984413,-0.3584859,-0.1197505
2020-2049,temp,dmax,oct,South East England,0.7819697,1.806594,3.068733,-0.10189364,1.457284,3.1265001,-0.88386334,-0.34931,0.0577671
2020-2049,temp,dmax,oct,South West England,0.69062966,1.6587422,2.7134113,-0.03807717,1.6252539,3.3666084,-0.72870683,-0.0334883,0.6531971
2020-2049,temp,dmax,oct,Wales,0.63858086,1.5598853,2.5593011,-0.05735755,1.4383928,3.0088236,-0.69593841,-0.1214925,0.4495225
2020-2049,temp,dmax,oct,West Midlands,0.6710803,1.6494644,2.7160764,-0.08480918,1.5473704,3.2452855,-0.75588948,-0.102094,0.5292091
2020-2049,temp,dmax,oct,Western Scotland,0.6252646,1.4719586,2.4136345,0.035024233,1.366887,2.7761095,-0.590240367,-0.1050716,0.362475
2020-2049,temp,dmax,oct,Yorkshire and Humberside,0.70581245,1.6483812,2.787108,-0.057065617,1.2552401,2.639007,-0.762878067,-0.3931411,-0.148101
2020-2049,temp,dmean,oct,Channel Islands,0.91596967,1.8178962,2.807211,0.2800965,1.4100248,2.6085823,-0.63587317,-0.4078714,-0.1986287
2020-2049,temp,dmean,oct,East Midlands,0.93192375,1.8781757,2.9030209,0.2724761,1.4385366,2.7025623,-0.65944765,-0.4396391,-0.2004586
2020-2049,temp,dmean,oct,East of England,0.9587816,1.9159752,2.9545326,0.29821053,1.4774213,2.7625368,-0.66057107,-0.4385539,-0.1919958
2020-2049,temp,dmean,oct,Eastern Scotland,0.5602761,1.6158144,2.7695284,0.22454189,1.2395194,2.3073716,-0.33573421,-0.376295,-0.4621568
2020-2049,temp,dmean,oct,Isle of Man,0.8097183,1.6351585,2.5325136,0.38782656,1.3382267,2.3329463,-0.42189174,-0.2969318,-0.1995673
2020-2049,temp,dmean,oct,London,0.97996914,1.9604459,3.0240142,0.25972098,1.5181185,2.8816948,-0.72024816,-0.4423274,-0.1423194
2020-2049,temp,dmean,oct,North East England,0.8790894,1.7777681,2.7544153,0.3604422,1.433353,2.5475776,-0.5186472,-0.3444151,-0.2068377
2020-2049,temp,dmean,oct,North West England,0.89123654,1.79509,2.778304,0.30253816,1.4016876,2.5410397,-0.58869838,-0.3934024,-0.2372643
2020-2049,temp,dmean,oct,Northern Ireland,0.8208526,1.5948182,2.4442081,0.36917233,1.3766105,2.4298215,-0.45168027,-0.2182077,-0.0143866
2020-2049,temp,dmean,oct,Northern Scotland,0.53004265,1.5261667,2.6151614,0.22314835,1.1654592,2.1618419,-0.3068943,-0.3607075,-0.4533195
2020-2049,temp,dmean,oct,South East England,0.9762627,1.9528749,3.0122695,0.24239387,1.5139486,2.8884418,-0.73386883,-0.4389263,-0.1238277
2020-2049,temp,dmean,oct,South West England,0.96495765,1.8940907,2.9160323,0.21088524,1.4458499,2.7477362,-0.75407241,-0.4482408,-0.1682961
2020-2049,temp,dmean,oct,Wales,0.92473704,1.8228877,2.8096635,0.23486182,1.361852,2.5509875,-0.68987522,-0.4610357,-0.258676
2020-2049,temp,dmean,oct,West Midlands,0.95864475,1.8883597,2.9100006,0.22336836,1.4211912,2.6825461,-0.73527639,-0.4671685,-0.2274545
2020-2049,temp,dmean,oct,Western Scotland,0.8497825,1.7165501,2.6587698,0.3499279,1.3787123,2.451754,-0.4998546,-0.3378378,-0.2070158
2020-2049,temp,dmean,oct,Yorkshire and Humberside,0.891477,1.8130112,2.8092847,0.30728024,1.3986344,2.5814378,-0.58419676,-0.4143768,-0.2278469
2020-2049,temp,dmin,oct,Channel Islands,0.3317826,1.4154611,2.6023657,0.12895578,1.3947672,2.696152,-0.20282682,-0.0206939,0.0937863
2020-2049,temp,dmin,oct,East Midlands,0.6620986,1.664458,2.7871737,0.15826349,1.2944255,2.4566798,-0.50383511,-0.3700325,-0.3304939
2020-2049,temp,dmin,oct,East of England,0.6750882,1.6833422,2.818376,0.1453941,1.2942352,2.473197,-0.5296941,-0.389107,-0.345179
2020-2049,temp,dmin,oct,Eastern Scotland,0.4825913,1.596743,2.9207911,0.13610464,1.1635293,2.245139,-0.34648666,-0.4332137,-0.6756521
2020-2049,temp,dmin,oct,Isle of Man,0.5938195,1.5570884,2.690117,0.2997547,1.2816931,2.3140104,-0.2940648,-0.2753953,-0.3761066
2020-2049,temp,dmin,oct,London,0.69102305,1.7253737,2.8676662,0.10169014,1.3035644,2.5358717,-0.58933291,-0.4218093,-0.3317945
2020-2049,temp,dmin,oct,North East England,0.6334699,1.687401,2.9275675,0.19145165,1.2898188,2.404118,-0.44201825,-0.3975822,-0.5234495
2020-2049,temp,dmin,oct,North West England,0.6583889,1.7321067,2.9792027,0.2701658,1.3608887,2.5019104,-0.3882231,-0.371218,-0.4772923
2020-2049,temp,dmin,oct,Northern Ireland,0.39299512,1.3778034,2.4471445,0.26912323,1.3065454,2.3967607,-0.12387189,-0.071258,-0.0503838
2020-2049,temp,dmin,oct,Northern Scotland,0.43714258,1.5297008,2.792582,0.0958958,1.0826427,2.1189587,-0.34124678,-0.4470581,-0.6736233
2020-2049,temp,dmin,oct,South East England,0.6956655,1.7242924,2.8656368,0.086492844,1.3042288,2.550038,-0.609172656,-0.4200636,-0.3155988
2020-2049,temp,dmin,oct,South West England,0.3252855,1.4817815,2.7037492,0.10391825,1.410823,2.7618334,-0.22136725,-0.0709585,0.0580842
2020-2049,temp,dmin,oct,Wales,0.31610057,1.4306184,2.626369,0.16821325,1.4053437,2.6712604,-0.14788732,-0.0252747,0.0448914
2020-2049,temp,dmin,oct,West Midlands,0.32481813,1.4615244,2.6865327,0.15257776,1.426015,2.7292883,-0.17224037,-0.0355094,0.0427556
2020-2049,temp,dmin,oct,Western Scotland,0.6207758,1.6639776,2.8703666,0.26378384,1.3261101,2.444246,-0.35699196,-0.3378675,-0.4261206
2020-2049,temp,dmin,oct,Yorkshire and Humberside,0.615389,1.6106838,2.7335405,0.19644564,1.2985175,2.4233081,-0.41894336,-0.3121663,-0.3102324
2020-2049,precip,dmean,oct,Channel Islands,-17.737,0.8717174,23.727196,-33.2351,-4.6305947,31.50083,-15.4981,-5.5023121,7.773634
2020-2049,precip,dmean,oct,East Midlands,-12.860982,1.1482271,17.464577,-23.480927,-1.0849103,24.628214,-10.619945,-2.2331374,7.163637
2020-2049,precip,dmean,oct,East of England,-13.720035,0.67765856,17.500992,-27.911947,-4.1392937,22.877798,-14.191912,-4.81695226,5.376806
2020-2049,precip,dmean,oct,Eastern Scotland,-9.794591,3.341492,18.524698,-16.416836,0.83853704,20.375729,-6.622245,-2.50295496,1.851031
2020-2049,precip,dmean,oct,Isle of Man,-9.690449,5.0883236,22.384327,-24.85928,-0.5523779,26.741936,-15.168831,-5.6407015,4.357609
