,,,,,UKCP09,,,UKCP18,,,Difference,,
2010-2039,precip,dmean,jan,Isle of Man,-9.60382,4.966135,23.506569,-7.506378,7.797369,24.805363,2.097442,2.831234,1.298794
2010-2039,precip,dmean,jan,London,-13.356452,1.2121897,18.742899,-10.473921,6.7024593,25.773893,2.882531,5.4902696,7.030994
2010-2039,precip,dmean,jan,North East England,-11.540409,0.93196493,15.472774,-16.66278,1.1589061,21.939196,-5.122371,0.22694117,6.466422
2010-2039,precip,dmean,jan,North West England,-12.972126,0.5668413,16.782293,-11.86122,5.024791,23.20456,1.110906,4.4579497,6.422267
2010-2039,precip,dmean,jan,Northern Ireland,-10.755572,0.45553622,13.489679,-7.27546,5.891008,21.02732,3.480112,5.43547178,7.537641
2010-2039,precip,dmean,jan,Northern Scotland,-10.39665,2.37347,17.196772,-7.094035,9.585155,28.221806,3.302615,7.211685,11.025034
2010-2039,precip,dmean,jan,South East England,-12.124214,3.9836893,25.15601,-10.739354,7.8946166,28.802849,1.38486,3.9109273,3.646839
2010-2039,precip,dmean,jan,South West England,-11.20406,3.800467,23.45448,-11.936661,3.793271,20.958187,-0.732601,-0.007196,-2.496293
2010-2039,precip,dmean,jan,Wales,-8.858347,4.723596,21.911793,-11.943708,4.8650928,22.998264,-3.085361,0.1414968,1.086471
2010-2039,precip,dmean,jan,West Midlands,-10.097286,3.3606167,20.634813,-12.306018,3.3741477,21.158394,-2.208732,0.013531,0.523581
2010-2039,precip,dmean,jan,Western Scotland,-10.588681,3.2791133,19.716496,-11.395645,6.260915,24.97619,-0.806964,2.9818017,5.259694
2010-2039,precip,dmean,jan,Yorkshire and Humberside,-11.628148,1.0146741,15.859451,-11.253331,4.8929944,23.790611,0.374817,3.8783203,7.93116
2020-2049,temp,dmax,jan,Channel Islands,0.014506912,1.164523,2.4365847,-0.1282695,0.779664,1.7660555,-0.142776412,-0.384859,-0.6705292
2020-2049,temp,dmax,jan,East Midlands,0.07266626,1.2993762,2.7027955,-0.0042821,0.92143345,1.944137,-0.07694836,-0.37794275,-0.7586585
2020-2049,temp,dmax,jan,East of England,0.096253924,1.3219441,2.7547317,-0.01877651,0.9067976,1.9344437,-0.115030434,-0.4151465,-0.820288
2020-2049,temp,dmax,jan,Eastern Scotland,-0.19674352,1.1199105,2.5467205,-0.11377415,0.8960694,1.929471,0.08296937,-0.2238411,-0.6172495
2020-2049,temp,dmax,jan,Isle of Man,0.007052314,1.0436194,2.1485062,0.050973546,0.8628392,1.7401989,0.043921233,-0.1807802,-0.4083073
2020-2049,temp,dmax,jan,London,0.08466196,1.321073,2.7410717,-0.028488686,0.9037112,1.9379,-0.113150646,-0.4173618,-0.8031717
2020-2049,temp,dmax,jan,North East England,-9.40E-05,1.2439747,2.568935,0.0404103,0.96197987,1.9861612,0.040504287,-0.28199483,-0.5827738
2020-2049,temp,dmax,jan,North West England,0.003685418,1.2114155,2.4789124,0.012478631,0.9309027,1.9477104,0.008793213,-0.2805128,-0.531202
2020-2049,temp,dmax,jan,Northern Ireland,0.001718637,1.0977108,2.2646513,0.020727096,0.8999532,1.8635674,0.019008459,-0.1977576,-0.4010839
2020-2049,temp,dmax,jan,Northern Scotland,-0.19446853,1.0469037,2.3855863,-0.10234259,0.8953774,1.911146,0.09212594,-0.1515263,-0.4744403
2020-2049,temp,dmax,jan,South East England,0.08903124,1.3145611,2.7239523,-0.046572696,0.8929325,1.9325464,-0.135603936,-0.4216286,-0.7914059
2020-2049,temp,dmax,jan,South West England,0.046984438,1.2152,2.5305676,-0.085686505,0.84569275,1.8645382,-0.132670943,-0.36950725,-0.6660294
2020-2049,temp,dmax,jan,Wales,0.039733145,1.2115036,2.5308104,-0.04487,0.8883025,1.9054699,-0.084603145,-0.3232011,-0.6253405
2020-2049,temp,dmax,jan,West Midlands,0.042131275,1.2479863,2.625689,-0.028864434,0.9168934,1.9533174,-0.070995709,-0.3310929,-0.6723716
2020-2049,temp,dmax,jan,Western Scotland,0.017552128,1.1934484,2.4509606,0.06622464,0.99327123,2.011286,0.048672512,-0.20017717,-0.4396746
2020-2049,temp,dmax,jan,Yorkshire and Humberside,0.077845,1.3009367,2.7073174,0.021681717,0.94027495,1.9589185,-0.056163283,-0.36066175,-0.7483989
2020-2049,temp,dmean,jan,Channel Islands,0.21883406,1.3745817,2.656132,-0.31803843,0.80954385,2.0130806,-0.53687249,-0.56503785,-0.6430514
2020-2049,temp,dmean,jan,East Midlands,0.25700375,1.4990596,2.878465,-0.038814567,1.0544434,2.2420535,-0.295818317,-0.4446162,-0.6364115
2020-2049,temp,dmean,jan,East of England,0.27235416,1.5346411,2.9392421,-0.04568036,1.057344,2.2548027,-0.31803452,-0.4772971,-0.6844394
2020-2049,temp,dmean,jan,Eastern Scotland,-0.13977696,1.1643003,2.544593,-0.27355075,0.94259936,2.187906,-0.13377379,-0.22170094,-0.356687
2020-2049,temp,dmean,jan,Isle of Man,0.16691588,1.1964703,2.33032,-0.15540168,0.82039946,1.8696222,-0.32231756,-0.37607084,-0.4606978
2020-2049,temp,dmean,jan,London,0.274804,1.5347347,2.9373026,-0.05828286,1.0581393,2.2710373,-0.33308686,-0.4765954,-0.6662653
2020-2049,temp,dmean,jan,North East England,0.18280987,1.3527726,2.6394565,-0.2011629,0.8817998,2.0621095,-0.38397277,-0.4709728,-0.577347
2020-2049,temp,dmean,jan,North West England,0.19007458,1.3320736,2.5911222,-0.22953804,0.85552627,2.0300057,-0.41961262,-0.47654733,-0.5611165
2020-2049,temp,dmean,jan,Northern Ireland,0.036800202,1.1093091,2.2691116,-0.18580996,0.8436796,1.9328505,-0.222610162,-0.2656295,-0.3362611
2020-2049,temp,dmean,jan,Northern Scotland,-0.13035646,1.1096979,2.4226909,-0.24630198,0.94821495,2.1675463,-0.11594552,-0.16148295,-0.2551446
2020-2049,temp,dmean,jan,South East England,0.27173164,1.529014,2.9281344,-0.076805905,1.0466777,2.2674856,-0.348537545,-0.4823363,-0.6606488
2020-2049,temp,dmean,jan,South West England,0.25938806,1.4025786,2.680993,-0.31829497,0.8471252,2.0759003,-0.57768303,-0.5554534,-0.6050927
2020-2049,temp,dmean,jan,Wales,0.25470826,1.3773886,2.6328602,-0.26041865,0.87558293,2.078714,-0.51512691,-0.50180567,-0.5541462
